player_id,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,conference,games_played,tackles,tackles_for_loss,sacks,forced_fumbles,arm_length,hand_size,5year_approx_value,40yd_done,Vertical_done,Bench_done,Broad Jump_done,3Cone_done,Shuttle_done
1540,Nick Perry,EDGE,USC,75,271,4.55,38.5,35.0,124.0,7.25,4.66,Power 5,37,2.7837837837837838,0.7972972972972973,0.581081081081081,0.13513513513513514,33.0,9.5,16.0,1,1,1,1,1,1
1585,Scott Solomon,EDGE,Rice,75,262,4.88,35.0,34.0,124.0,7.17,4.25,Group of 5,47,4.404255319148936,0.925531914893617,0.5106382978723404,0.0851063829787234,31.625,9.5,2.0,1,1,1,1,1,1
1611,Courtney Upshaw,EDGE,Alabama,74,272,4.74,33.55744680851064,22.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,53,2.660377358490566,0.6886792452830188,0.330188679245283,0.11320754716981132,32.0,9.0,29.0,1,0,1,0,0,0
1612,Olivier Vernon,EDGE,Miami (FL),74,261,4.73,34.5,31.0,122.0,7.39,4.5,Power 5,30,2.7,0.6833333333333333,0.3,0.03333333333333333,33.0,10.125,37.0,1,1,1,1,1,1
1627,Billy Winn,EDGE,Boise State,76,294,4.86,27.0,24.0,107.0,7.37,4.44,Group of 5,53,2.509433962264151,0.6886792452830188,0.3018867924528302,0.05660377358490566,32.5,9.0,16.0,1,1,1,1,1,1
1646,Ziggy Ansah,EDGE,BYU,77,271,4.56,34.5,21.0,118.0,7.11,4.26,Group of 5,31,2.3225806451612905,0.41935483870967744,0.14516129032258066,0.03225806451612903,35.125,10.25,39.0,1,1,1,1,1,1
1661,David Bass,EDGE,Missouri Western State,76,262,4.84,30.5,20.0,111.0,7.07,4.33,FCS,44,4.136363636363637,1.1363636363636365,0.6704545454545454,0.22727272727272727,33.5,10.5,10.0,1,1,1,1,1,1
1679,Armonty Bryant,EDGE,East Central (OK),76,263,4.86,31.5,24.088372093023256,118.0,7.32,5.0,FCS,38,4.105263157894737,1.513157894736842,0.8552631578947368,0.2631578947368421,35.75,9.75,5.0,1,1,0,1,1,1
1680,Michael Buchanan,EDGE,Illinois,77,255,4.78,33.0,22.0,113.0,6.91,4.44,Power 5,46,3.5,0.5652173913043478,0.30434782608695654,0.043478260869565216,34.0,9.875,2.0,1,1,1,1,1,1
1685,Tank Carradine,EDGE,Florida State,76,276,4.9,33.55744680851064,28.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,25,4.72,0.84,0.66,0.04,34.75,10.25,7.0,1,0,1,0,0,0
1703,Lavar Edwards,EDGE,LSU,76,277,4.8,33.0,24.088372093023256,119.0,7.03,4.51,Power 5,52,1.8461538461538463,0.38461538461538464,0.20192307692307693,0.038461538461538464,34.5,9.875,1.0,1,1,0,1,1,1
1725,William Gholston,EDGE,Michigan State,78,281,4.96,28.5,23.0,110.0,7.2,4.59,Power 5,36,3.9444444444444446,0.8333333333333334,0.2777777777777778,0.05555555555555555,34.0,10.375,22.0,1,1,1,1,1,1
1731,Malliciah Goodman,EDGE,Clemson,76,276,4.87,31.5,26.0,114.0,7.208514851485148,4.396206896551725,Power 5,54,2.3518518518518516,0.42592592592592593,0.2222222222222222,0.14814814814814814,36.375,11.0,5.0,1,1,1,1,0,0
1759,Margus Hunt,EDGE,SMU,80,277,4.62,34.5,38.0,121.0,7.07,4.51,Group of 5,53,2.1132075471698113,0.5283018867924528,0.3113207547169811,0.03773584905660377,33.75,10.0,7.0,1,1,1,1,1,1
1769,Brandon Jenkins,EDGE,Florida State,74,251,5.07,33.55744680851064,18.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,40,2.975,0.9375,0.5625,0.05,33.25,9.25,0.0,1,0,1,0,0,0
1784,Datone Jones,EDGE,UCLA,76,283,4.8,31.5,29.0,112.0,7.32,4.32,Power 5,51,2.9019607843137254,0.7156862745098039,0.24509803921568626,0.058823529411764705,32.75,10.0,11.0,1,1,1,1,1,1
1787,Dion Jordan,EDGE,Oregon,78,248,4.54,32.5,24.088372093023256,122.0,7.02,4.35,Power 5,45,2.688888888888889,0.6444444444444445,0.32222222222222224,0.08888888888888889,33.875,10.0,4.0,1,1,0,1,1,1
1796,Joe Kruger,EDGE,Utah,78,269,4.83,34.0,24.0,117.0,7.17,4.46,Power 5,37,1.864864864864865,0.3783783783783784,0.24324324324324326,0.08108108108108109,34.375,10.0,0.0,1,1,1,1,1,1
1801,Corey Lemonier,EDGE,Auburn,75,255,4.6,33.0,27.0,119.0,7.14,4.4,Power 5,39,2.5128205128205128,0.6153846153846154,0.4358974358974359,0.1794871794871795,34.5,10.125,4.0,1,1,1,1,1,1
1817,Stansly Maponga,EDGE,TCU,74,256,4.78,33.55744680851064,30.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,36,3.138888888888889,0.6388888888888888,0.4305555555555556,0.2222222222222222,32.5,9.25,2.0,1,0,1,0,0,0
1837,Barkevious Mingo,EDGE,LSU,76,241,4.58,37.0,24.088372093023256,128.0,6.84,4.39,Power 5,40,2.975,0.725,0.375,0.1,33.75,9.625,16.0,1,1,0,1,1,1
1840,Sam Montgomery,EDGE,LSU,75,262,4.81,34.5,24.088372093023256,114.0,7.18,4.51,Power 5,31,3.3548387096774195,1.0483870967741935,0.6129032258064516,0.0967741935483871,33.875,9.25,0.0,1,1,0,1,1,1
1842,Damontre Moore,EDGE,Texas A&M,76,250,4.95,35.5,12.0,122.0,7.208514851485148,4.396206896551725,Power 5,38,5.184210526315789,1.1842105263157894,0.6973684210526315,0.21052631578947367,34.75,10.25,5.0,1,1,1,1,0,0
1848,Alex Okafor,EDGE,Texas,76,264,4.78,33.55744680851064,21.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,52,2.8846153846153846,0.6538461538461539,0.4423076923076923,0.1346153846153846,33.875,9.625,20.0,1,0,1,0,0,0
1891,Quanterus Smith,EDGE,Western Kentucky,77,250,4.74,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Group of 5,46,2.9347826086956523,0.8913043478260869,0.5217391304347826,0.10869565217391304,33.25,10.375,1.0,1,0,0,0,0,0
1911,Devin Taylor,EDGE,South Carolina,79,266,4.72,35.0,14.0,128.0,6.89,4.3,Power 5,52,3.0961538461538463,0.6826923076923077,0.3557692307692308,0.038461538461538464,36.0,10.375,13.0,1,1,1,1,1,1
1934,Cornelius Washington,EDGE,Georgia,76,265,4.55,39.0,36.0,128.0,7.208514851485148,4.396206896551725,Power 5,51,1.4901960784313726,0.3333333333333333,0.20588235294117646,0.0,34.0,9.5,5.0,1,1,1,1,0,0
1940,Bjoern Werner,EDGE,Florida State,75,266,4.83,31.0,25.0,111.0,7.3,4.4,Power 5,41,2.4146341463414633,0.8536585365853658,0.573170731707317,0.07317073170731707,33.25,9.625,10.0,1,1,1,1,1,1
1955,Tourek Williams,EDGE,Florida International,75,260,4.92,33.0,25.0,112.0,7.208514851485148,4.396206896551725,Group of 5,49,3.061224489795918,0.9183673469387755,0.3673469387755102,0.04081632653061224,32.5,9.5,5.0,1,1,1,1,0,0
1978,Jeremiah Attaochu,EDGE,Georgia Tech,75,252,4.763778625954199,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,49,4.0,0.8877551020408163,0.6428571428571429,0.08163265306122448,33.0,9.875,9.0,0,0,0,0,0,0
2019,Will Clarke,EDGE,West Virginia,78,271,4.77,32.0,22.0,112.0,7.26,4.57,Power 5,37,2.972972972972973,0.7702702702702703,0.25675675675675674,0.02702702702702703,34.625,9.875,6.0,1,1,1,1,1,1
2021,Jadeveon Clowney,EDGE,South Carolina,77,266,4.53,37.5,21.0,124.0,7.27,4.43,Power 5,36,3.5833333333333335,1.3055555555555556,0.6666666666666666,0.25,34.5,10.0,42.0,1,1,1,1,1,1
2031,Scott Crichton,EDGE,Oregon State,75,273,4.84,31.5,24.0,108.0,7.19,4.29,Power 5,38,4.342105263157895,1.3421052631578947,0.618421052631579,0.2631578947368421,32.75,10.125,2.0,1,1,1,1,1,1
2044,Kony Ealy,EDGE,Missouri,76,273,4.92,31.0,22.0,114.0,6.83,4.45,Power 5,39,2.4615384615384617,0.717948717948718,0.34615384615384615,0.15384615384615385,34.25,9.5,13.0,1,1,1,1,1,1
2051,I.K. Enemkpali,EDGE,Louisiana Tech,73,261,4.86,34.0,28.0,112.0,7.67,4.65,Group of 5,48,3.0833333333333335,0.6666666666666666,0.3645833333333333,0.041666666666666664,33.125,9.75,1.0,1,1,1,1,1,1
2064,Dee Ford,EDGE,Auburn,74,252,4.763778625954199,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,52,1.7884615384615385,0.5288461538461539,0.3942307692307692,0.057692307692307696,32.875,10.25,22.0,0,0,0,0,0,0
2090,Taylor Hart,EDGE,Oregon,78,281,4.92,33.55744680851064,21.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,52,3.326923076923077,0.4230769230769231,0.3076923076923077,0.09615384615384616,32.75,10.125,1.0,1,0,1,0,0,0
2142,Demarcus Lawrence,EDGE,Boise State,75,251,4.8,34.5,20.0,113.0,7.46,4.31,Group of 5,23,5.217391304347826,1.4782608695652173,0.8695652173913043,0.30434782608695654,33.75,11.0,35.0,1,1,1,1,1,1
2158,Aaron Lynch,EDGE,South Florida,77,249,4.76,33.55744680851064,18.0,117.49130434782609,7.208514851485148,4.396206896551725,Group of 5,24,2.5833333333333335,0.7916666666666666,0.4375,0.041666666666666664,34.0,10.25,13.0,1,0,1,0,0,0
2161,Khalil Mack,EDGE,Buffalo,75,251,4.65,40.0,23.0,128.0,7.08,4.18,Group of 5,48,6.8125,1.5520833333333333,0.59375,0.3333333333333333,33.25,10.25,66.0,1,1,1,1,1,1
2165,Cassius Marsh,EDGE,UCLA,76,252,4.89,32.0,14.0,108.0,7.08,4.25,Power 5,51,2.9215686274509802,0.4411764705882353,0.29411764705882354,0.0392156862745098,32.75,9.5,11.0,1,1,1,1,1,1
2166,Kareem Martin,EDGE,North Carolina,78,272,4.72,35.5,22.0,129.0,7.2,4.33,Power 5,49,3.63265306122449,0.9285714285714286,0.3979591836734694,0.08163265306122448,35.0,10.0,13.0,1,1,1,1,1,1
2185,Zach Moore,EDGE,Concordia (MN),77,269,4.84,33.5,23.0,123.0,7.41,4.46,FCS,43,2.9069767441860463,0.9767441860465116,0.7674418604651163,0.09302325581395349,33.75,9.625,3.0,1,1,1,1,1,1
2192,Trent Murphy,EDGE,Stanford,77,250,4.86,35.5,19.0,118.0,6.78,4.2,Power 5,43,3.7209302325581395,1.2209302325581395,0.7558139534883721,0.06976744186046512,33.875,11.125,19.0,1,1,1,1,1,1
2198,Kyle Van Noy,EDGE,BYU,75,243,4.71,32.5,21.0,112.0,7.22,4.2,Power 5,52,4.346153846153846,1.1826923076923077,0.4807692307692308,0.21153846153846154,31.625,9.625,16.0,1,1,1,1,1,1
2200,Jeoffrey Pagan,EDGE,Alabama,75,310,4.92,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,32,1.875,0.234375,0.109375,0.03125,33.0,9.625,1.0,1,0,0,0,0,0
2207,Ronald Powell,EDGE,Florida,75,237,4.65,35.5,21.0,114.0,7.208514851485148,4.396206896551725,Power 5,35,2.257142857142857,0.5285714285714286,0.3142857142857143,0.02857142857142857,32.5,9.375,1.0,1,1,1,1,0,0
2230,Michael Sam,EDGE,Missouri,74,261,4.91,25.5,17.0,114.0,7.8,4.7,Power 5,52,2.1153846153846154,0.6057692307692307,0.3269230769230769,0.09615384615384616,33.375,9.375,0.0,1,1,1,1,1,1
2244,Chris Smith,EDGE,Arkansas,73,266,4.66,37.0,28.0,121.0,7.55,4.46,Power 5,43,2.8372093023255816,0.7093023255813954,0.5,0.046511627906976744,31.375,9.25,7.0,1,1,1,1,1,1
2246,Marcus Smith,EDGE,Louisville,75,251,4.66,35.0,23.0,121.0,7.48,4.47,Power 5,36,2.2777777777777777,0.9027777777777778,0.7083333333333334,0.2777777777777778,34.0,10.0,4.0,1,1,1,1,1,1
2251,Tyler Starr,EDGE,South Dakota,76,250,4.95,32.0,24.0,116.0,6.64,4.15,FCS,47,5.212765957446808,1.1170212765957446,0.48936170212765956,0.0851063829787234,32.5,9.5,0.0,1,1,1,1,1,1
2255,Ed Stinson,EDGE,Alabama,75,287,4.98,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,49,2.122448979591837,0.3163265306122449,0.11224489795918367,0.02040816326530612,33.75,9.375,5.0,1,0,0,0,0,0
2277,Brent Urban,EDGE,Virginia,79,295,4.98,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,33,2.272727272727273,0.48484848484848486,0.09090909090909091,0.06060606060606061,34.25,9.75,14.0,1,0,0,0,0,0
2310,Henry Anderson,EDGE,Stanford,78,294,4.97,30.0,24.088372093023256,111.0,7.2,4.19,Power 5,47,3.021276595744681,0.6702127659574468,0.3617021276595745,0.02127659574468085,33.5,9.75,18.0,1,1,0,1,1,1
2313,Arik Armstead,EDGE,Oregon,79,292,5.06,34.0,24.0,117.0,7.57,4.53,Power 5,35,2.4857142857142858,0.3,0.11428571428571428,0.02857142857142857,33.0,10.5,22.0,1,1,1,1,1,1
2318,Vic Beasley,EDGE,Clemson,75,246,4.53,41.0,35.0,130.0,6.91,4.15,Power 5,47,1.8936170212765957,1.1063829787234043,0.7021276595744681,0.14893617021276595,32.5,9.375,34.0,1,1,1,1,1,1
2346,Anthony Chickillo,EDGE,Miami (FL),75,267,4.79,34.5,27.0,114.0,7.17,4.25,Power 5,50,3.42,0.5,0.31,0.04,33.5,10.125,10.0,1,1,1,1,1,1
2349,Frank Clark,EDGE,Michigan,75,271,4.79,38.5,19.0,118.0,7.08,4.05,Power 5,45,2.5555555555555554,0.7888888888888889,0.25555555555555554,0.022222222222222223,34.375,10.125,32.0,1,1,1,1,1,1
2393,B.J. Dubose,EDGE,Louisville,76,284,5.06,33.55744680851064,26.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,28,2.607142857142857,0.4642857142857143,0.21428571428571427,0.0,33.0,9.75,0.0,1,0,1,0,0,0
2394,Alvin Dupree,EDGE,Kentucky,76,269,4.56,42.0,24.088372093023256,138.0,7.208514851485148,4.396206896551725,Power 5,47,5.25531914893617,0.7872340425531915,0.5,0.0851063829787234,32.625,9.75,28.0,1,1,0,1,0,0
2398,Kyle Emanuel,EDGE,North Dakota State,75,255,4.77,34.0,27.0,120.0,7.1,4.25,FCS,56,5.714285714285714,0.9464285714285714,0.375,0.14285714285714285,31.0,9.375,17.0,1,1,1,1,1,1
2408,Trey Flowers,EDGE,Arkansas,74,266,4.93,36.5,28.0,121.0,7.34,4.4,Power 5,49,3.877551020408163,0.9693877551020408,0.3673469387755102,0.08163265306122448,34.25,10.0,32.0,1,1,1,1,1,1
2409,Dante Fowler,EDGE,Florida,75,261,4.6,32.5,19.0,112.0,7.4,4.32,Power 5,36,3.888888888888889,0.9166666666666666,0.4027777777777778,0.1388888888888889,33.75,9.5,22.0,1,1,1,1,1,1
2420,Markus Golden,EDGE,Missouri,74,260,4.9,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,39,3.6666666666666665,0.8461538461538461,0.4230769230769231,0.1282051282051282,31.125,10.5,22.0,1,0,0,0,0,0
2431,Randy Gregory,EDGE,Nebraska,77,235,4.64,36.5,24.0,125.0,7.208514851485148,4.396206896551725,Power 5,24,4.958333333333333,1.0625,0.6875,0.08333333333333333,34.0,10.0,5.0,1,1,1,1,0,0
2435,Obum Gwacham,EDGE,Oregon State,77,246,4.72,36.0,22.0,121.0,7.28,4.28,Power 5,41,0.8780487804878049,0.13414634146341464,0.0975609756097561,0.024390243902439025,34.375,10.0,1.0,1,1,1,1,1,1
2443,Eli Harold,EDGE,Virginia,75,247,4.6,35.0,24.088372093023256,123.0,7.07,4.16,Power 5,36,3.9166666666666665,1.0138888888888888,0.4861111111111111,0.1111111111111111,33.0,9.375,12.0,1,1,0,1,1,1
2463,Danielle Hunter,EDGE,LSU,77,252,4.57,33.55744680851064,25.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,38,3.736842105263158,0.5526315789473685,0.11842105263157894,0.05263157894736842,34.25,10.5,45.0,1,0,1,0,0,0
2464,Martin Ifedi,EDGE,Memphis,75,275,4.88,31.0,16.0,111.0,7.39,4.58,Group of 5,45,3.111111111111111,0.8,0.45555555555555555,0.08888888888888889,33.875,10.0,0.0,1,1,1,1,1,1
2480,Mario Edwards Jr.,EDGE,Florida State,75,279,4.76,32.5,32.0,120.0,7.44,4.55,Power 5,35,2.7142857142857144,0.6571428571428571,0.22857142857142856,0.08571428571428572,33.25,10.875,13.0,1,1,1,1,1,1
2482,Hau'oli Kikaha,EDGE,Washington,74,253,4.93,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,43,4.790697674418604,1.186046511627907,0.8255813953488372,0.11627906976744186,32.5,9.625,5.0,1,0,0,0,0,0
2526,Owamagbe Odighizuwa,EDGE,UCLA,75,267,4.62,39.0,25.0,127.0,7.36,4.19,Power 5,51,2.6666666666666665,0.4803921568627451,0.24509803921568626,0.0,33.75,11.0,1.0,1,1,1,1,1,1
2528,Nate Orchard,EDGE,Utah,75,250,4.8,31.5,24.088372093023256,115.0,7.28,4.43,Power 5,24,5.541666666666667,1.2291666666666667,0.8958333333333334,0.25,33.75,10.125,8.0,1,1,0,1,1,1
2549,Shane Ray,EDGE,Missouri,75,245,4.68,33.55744680851064,21.0,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,40,3.0,0.85,0.475,0.125,33.125,9.0,12.0,1,0,1,0,0,0
2561,Ryan Russell,EDGE,Purdue,76,269,4.75,32.5,25.0,119.0,7.25,4.47,Power 5,50,2.98,0.5,0.2,0.08,33.375,10.25,4.0,1,1,1,1,1,1
2581,Preston Smith,EDGE,Mississippi State,77,271,4.74,34.0,24.0,121.0,7.07,4.28,Power 5,47,2.851063829787234,0.574468085106383,0.3404255319148936,0.10638297872340426,34.0,10.625,35.0,1,1,1,1,1,1
2583,Za'Darius Smith,EDGE,Kentucky,76,274,4.83,29.0,23.0,113.0,7.42,4.66,Power 5,24,5.0,0.6041666666666666,0.4583333333333333,0.0,32.625,10.0,26.0,1,1,1,1,1,1
2598,Max Valles,EDGE,Virginia,77,251,4.83,36.5,24.088372093023256,121.0,7.59,4.37,Power 5,20,3.9,0.9,0.65,0.2,32.625,9.375,0.0,1,1,0,1,1,1
2645,Ronald Blair,EDGE,Appalachian State,74,284,5.15,30.0,32.0,113.0,7.95,4.53,Group of 5,25,4.56,1.28,0.54,0.04,34.0,10.25,6.0,1,1,1,1,1,1
2651,Joey Bosa,EDGE,Ohio State,77,269,4.86,32.0,24.0,120.0,6.89,4.21,Power 5,38,3.8947368421052633,1.3289473684210527,0.6842105263157895,0.13157894736842105,33.375,10.25,43.0,1,1,1,1,1,1
2671,Shilique Calhoun,EDGE,Michigan State,76,251,4.82,35.0,23.0,115.0,6.97,4.25,Power 5,54,2.425925925925926,0.8148148148148148,0.5,0.07407407407407407,34.25,9.875,5.0,1,1,1,1,1,1
2692,Kamalei Correa,EDGE,Boise State,75,243,4.69,33.0,21.0,108.0,7.208514851485148,4.396206896551725,Group of 5,37,2.972972972972973,0.8513513513513513,0.5405405405405406,0.13513513513513514,31.625,9.375,12.0,1,1,1,1,0,0
2707,Kevin Dodd,EDGE,Clemson,77,277,4.86,33.55744680851064,24.088372093023256,117.49130434782609,7.208514851485148,4.396206896551725,Power 5,35,2.342857142857143,0.7428571428571429,0.34285714285714286,0.02857142857142857,34.0,10.0,2.0,1,0,0,0,0,0
2721,Travis Feeney,EDGE,Washington,76,230,4.5,40.0,24.088372093023256,130.0,7.2,4.42,Power 5,52,4.75,0.6346153846153846,0.2980769230769231,0.09615384615384616,33.375,9.5,0.0,1,1,0,1,1,1
2723,Leonard Floyd,EDGE,Georgia,78,244,4.6,39.5,24.088372093023256,127.0,7.208514851485148,4.396206896551725,Power 5,38,4.842105263157895,0.75,0.4473684210526316,0.13157894736842105,33.125,10.125,40.0,1,1,0,1,0,0
2772,Jordan Jenkins,EDGE,Georgia,75,259,4.8,36.5,16.0,121.0,7.208514851485148,4.396206896551725,Power 5,52,3.9423076923076925,0.7692307692307693,0.36538461538461536,0.11538461538461539,34.25,11.25,31.0,1,1,1,1,0,0
2784,Matt Judon,EDGE,Grand Valley State,75,275,4.73,35.0,30.0,109.0,7.67,4.52,FCS,49,3.061224489795918,0.5816326530612245,0.41836734693877553,0.10204081632653061,33.875,9.5,37.0,1,1,1,1,1,1
2788,Bronson Kaufusi,EDGE,BYU,78,285,4.87,30.0,25.0,111.0,7.03,4.25,Power 5,50,3.42,0.88,0.53,0.1,34.5,9.75,2.0,1,1,1,1,1,1
2803,Shaq Lawson,EDGE,Clemson,75,269,4.7,33.0,24.088372093023256,120.0,7.16,4.21,Power 5,41,3.048780487804878,1.1341463414634145,0.4878048780487805,0.04878048780487805,32.75,10.0,18.0,1,1,0,1,1,1
2828,Alex McCalister,EDGE,Florida,78,239,4.8,34.5,24.088372093023256,128.0,7.01,4.0,Power 5,23,2.260869565217391,0.8043478260869565,0.5434782608695652,0.08695652173913043,36.0,9.375,0.0,1,1,0,1,1,1
2843,Carl Nassib,EDGE,Penn State,79,277,4.84,28.5,21.0,114.0,7.27,4.37,Power 5,32,2.03125,0.78125,0.546875,0.25,34.0,10.375,19.0,1,1,1,1,1,1
2847,Yannick Ngakoue,EDGE,Maryland,74,252,4.75,34.5,26.0,118.0,7.35,4.5,Power 5,30,2.8,1.0833333333333333,0.7166666666666667,0.06666666666666667,32.5,9.5,39.0,1,1,1,1,1,1
